ID,math9,math9_score,math10,math10_score,eng9,eng9_score,eng10,eng10_score,hist9,hist9_score,bio9,bio_score,phys10,phys10_score,chem11,chem11_score,Gender,Counselor,ELL_Status,Double_Math,FRPL_Status,Grade_Level,Home_Language,Date_of_Birth,Race_Ethnicity,Transfer_Student,Special_Education_Status,schoolName
2241070,5,75,0,,1,90,5,65,0,,0,,0,,0,,0,19,False,0,3,11,0,2005-08-31,2,False,False,0
2241070,5,75,0,,1,90,1,95.239997863769531,0,,0,,0,,0,,0,19,False,0,3,11,0,2005-08-31,2,False,False,0
4230947,5,70,4,70.800003051757813,5,70,0,,0,,0,,0,,0,,0,10,True,0,3,11,0,2006-11-27,3,False,False,0
2241042,5,95,0,,5,65,1,83.729999542236328,5,70,5,65,1,79.69000244140625,0,,1,34,False,0,1,11,0,2005-10-01,3,False,False,0
2241045,5,90,1,81.439998626708984,5,85,2,94.489997863769531,2,90,5,90,2,76.790000915527344,2,75.134998321533203,0,37,False,0,2,11,0,2005-10-13,3,False,False,0
2240001,1,84.005001068115234,0,,1,72.205001831054688,1,94.44000244140625,1,86.734996795654297,1,90.130001068115234,1,88.31500244140625,2,85.724998474121094,1,25,False,0,1,11,0,2005-11-23,5,False,False,0
2240011,1,75.794998168945313,1,83.415000915527344,3,85.399997711181641,3,80.279998779296875,3,82.534999847412109,3,90.994998931884766,0,,0,,1,25,True,0,3,11,1,2005-12-14,3,False,True,0
2240018,1,81.834999084472656,1,77.224998474121094,2,69.349998474121094,2,84.754997253417969,2,73.639999389648438,2,85,2,70.200000762939453,2,82.325000762939453,0,25,False,0,3,11,1,2005-12-16,3,False,False,0
2240019,1,90.310001373291016,2,68.365001678466797,1,95.625,1,67.299999237060547,1,92.969997406005859,1,90.210002899169922,1,74.610000610351563,1,49.590000152587891,1,25,False,0,3,11,1,2006-07-28,3,False,False,0
2240020,1,84.369998931884766,1,71.895000457763672,1,96.68499755859375,1,87.379997253417969,1,85.254997253417969,1,80.879997253417969,1,78.909999847412109,1,84.555000305175781,0,25,False,0,3,11,0,2006-02-18,3,False,False,0
2240026,1,78.295001983642578,1,53.965000152587891,1,82.875,1,75.229999542236328,1,89.685001373291016,1,90.345001220703125,1,37.636666099230446,0,,0,25,False,0,3,11,1,2006-06-09,5,False,False,0
2240026,1,78.295001983642578,1,50,1,82.875,1,75.229999542236328,1,89.685001373291016,1,90.345001220703125,1,37.636666099230446,0,,0,25,False,0,3,11,1,2006-06-09,5,False,False,0
2240027,1,69.709999084472656,3,89.650001525878906,1,52.489999135335289,1,80.735000610351563,1,83.259998321533203,1,64.844999313354492,1,68.585000991821289,0,,0,25,False,1,3,11,1,2006-01-10,3,False,False,0
2240031,1,54.219999949137367,1,65.084999084472656,1,67.159997940063477,1,68.880001068115234,1,73.364999771118164,1,75.269996643066406,1,83.375,1,77.514999389648438,1,25,False,0,3,11,0,2005-12-21,5,False,False,0
2240033,1,45.133333524068199,1,52.55000114440918,1,44.559999942779541,1,74.985000610351563,1,62.235000610351563,1,63.100000381469727,1,67.554996490478516,0,,1,25,False,0,1,11,1,2005-12-15,3,False,True,0
2240033,1,45.133333524068199,1,65,1,44.559999942779541,1,74.985000610351563,1,62.235000610351563,1,63.100000381469727,1,67.554996490478516,0,,1,25,False,0,1,11,1,2005-12-15,3,False,True,0
2240035,1,81.05999755859375,1,67.555000305175781,1,71.194999694824219,1,72.805000305175781,1,69.814998626708984,1,75.994998931884766,1,66.720001220703125,0,,1,25,True,0,3,11,0,2006-07-19,3,False,True,0
2240037,1,65.05000114440918,1,69.970001220703125,1,73.034999847412109,1,67.56500244140625,1,84.739997863769531,1,90.479999542236328,1,66.94000244140625,0,,0,25,True,0,1,11,1,2006-07-17,3,False,False,0
2240037,1,65.05000114440918,1,69.970001220703125,1,73.034999847412109,1,67.56500244140625,1,84.739997863769531,1,90.479999542236328,4,80.300003051757813,0,,0,25,True,0,1,11,1,2006-07-17,3,False,False,0
2240037,1,65.05000114440918,4,66.75,1,73.034999847412109,1,67.56500244140625,1,84.739997863769531,1,90.479999542236328,1,66.94000244140625,0,,0,25,True,0,1,11,1,2006-07-17,3,False,False,0
2240037,1,65.05000114440918,4,66.75,1,73.034999847412109,1,67.56500244140625,1,84.739997863769531,1,90.479999542236328,4,80.300003051757813,0,,0,25,True,0,1,11,1,2006-07-17,3,False,False,0
2240040,1,65,0,,1,75,5,93.139999389648438,0,,0,,0,,0,,0,25,False,0,3,11,0,2005-10-18,2,False,True,0
2240040,1,65,0,,1,75,5,82.800003051757813,0,,0,,0,,0,,0,25,False,0,3,11,0,2005-10-18,2,False,True,0
2240042,1,74.310001373291016,3,77.135002136230469,1,82.700000762939453,1,84.219997406005859,1,89.104999542236328,1,87.590000152587891,1,80.119998931884766,1,45.840000152587891,0,25,False,1,1,11,1,2006-08-14,3,False,False,0
2240044,1,59.529998779296875,3,67.259998321533203,1,12.899999618530273,5,75.64000129699707,1,26.690000534057617,1,64.839996337890625,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240044,1,59.529998779296875,3,67.259998321533203,1,12.899999618530273,5,75.64000129699707,1,26.690000534057617,3,74.269996643066406,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240044,1,59.529998779296875,3,67.259998321533203,1,12.899999618530273,5,75.64000129699707,3,68.730003356933594,1,64.839996337890625,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240044,1,59.529998779296875,3,67.259998321533203,1,12.899999618530273,5,75.64000129699707,3,68.730003356933594,3,74.269996643066406,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240044,1,59.529998779296875,3,67.259998321533203,3,97.550003051757813,5,75.64000129699707,1,26.690000534057617,1,64.839996337890625,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240044,1,59.529998779296875,3,67.259998321533203,3,97.550003051757813,5,75.64000129699707,1,26.690000534057617,3,74.269996643066406,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240044,1,59.529998779296875,3,67.259998321533203,3,97.550003051757813,5,75.64000129699707,3,68.730003356933594,1,64.839996337890625,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240044,1,59.529998779296875,3,67.259998321533203,3,97.550003051757813,5,75.64000129699707,3,68.730003356933594,3,74.269996643066406,0,,0,,1,25,True,0,3,11,1,2005-09-01,3,False,True,0
2240046,1,81.270000457763672,3,65.42500114440918,1,77.715000152587891,1,72.875,1,80.575000762939453,1,66.444997787475586,1,73.485000610351563,0,,1,25,True,1,3,11,1,2005-11-02,3,False,False,0
2240046,1,81.270000457763672,3,65,1,77.715000152587891,1,72.875,1,80.575000762939453,1,66.444997787475586,1,73.485000610351563,0,,1,25,True,1,3,11,1,2005-11-02,3,False,False,0
2240048,1,64.729999542236328,3,63.579998016357422,1,42.817499876022339,1,83.115001678466797,1,52.205000877380371,1,69.625,1,71.369998931884766,1,60.469999313354492,1,25,False,1,2,11,1,2006-07-24,3,False,False,0
